0 3 4 4 3 0
4.7 226.4 300.5 301.1 227.4 4.7
8.5340 8.5530 8.5320 8.5322 8.5329 8.5338
4.4 226.1 300.4 301.0 227.0 4.5
11.2174 11.2575 11.2876 11.2880 11.2581 11.2174
4.4 226.2 300.6 301.1 227.2 4.6
11.7525 11.7934 11.8243 11.8248 11.7937 11.7522
4.3 226.1 300.6 301.1 227.4 4.4
10.9767 10.9683 10.9669 10.9673 10.9682 10.9694
4.4 225.8 300.3 301.4 227.1 4.5
11.5262 11.5251 11.5236 11.5241 11.5251 11.5261
4.6 226.0 300.2 300.9 227.1 4.3
11.3733 11.3803 11.3855 11.3859 11.3905 11.3731
4.2 226.1 300.3 301.1 227.1 4.3
11.8690 11.8762 11.8819 11.8820 11.8767 11.8690
4.2 226.0 300.3 301.2 227.2 4.3
10.9231 10.9404 10.9529 10.9533 10.9406 10.9231
4.3 226.2 300.4 301.3 227.2 4.3
11.3090 11.3257 11.3382 11.3385 11.3257 11.3087
4.2 226.1 300.7 301.3 227.1 4.3
10.9690 10.9865 10.9993 10.9993 10.9862 10.9689
4.2 226.0 300.5 301.2 227.2 4.4
11.3602 11.3772 11.3905 11.3905 11.3775 11.3596
