index	original	background	difference
314	2322	1193	1129
315	2268	1188	1080
316	2327	1198	1129
317	2321	1204	1117
318	2323	1189	1134
319	2338	1179	1159
320	2362	1187	1175
321	2357	1197	1160
322	2355	1178	1177
323	2357	1164	1193
324	2363	1157	1206
325	2358	1175	1183
326	2341	1166	1175
327	2373	1174	1199
328	2382	1192	1190
329	2357	1177	1180
330	2417	1187	1230
331	2384	1200	1184
332	2361	1180	1181
333	2346	1164	1182
334	2325	1172	1153
335	2352	1171	1181
336	2388	1181	1207
337	2366	1187	1179
338	2347	1179	1168
339	2339	1187	1152
340	2381	1190	1191
341	2409	1175	1234
342	2397	1185	1212
343	2366	1170	1196
344	2357	1162	1195
345	2423	1169	1254
346	2419	1156	1263
347	2442	1167	1275
348	2406	1181	1225
349	2390	1183	1207
350	2374	1175	1199
351	2366	1182	1184
352	2383	1177	1206
353	2403	1194	1209
354	2420	1195	1225
355	2386	1174	1212
356	2381	1161	1220
357	2448	1174	1274
358	2391	1196	1195
359	2397	1199	1198
360	2417	1190	1227
361	2396	1185	1211
362	2393	1179	1214
363	2426	1174	1252
364	2419	1184	1235
365	2417	1196	1221
366	2413	1203	1210
367	2441	1213	1228
368	2460	1189	1271
369	2459	1175	1284
370	2430	1185	1245
371	2409	1176	1233
372	2406	1176	1230
373	2451	1198	1253
374	2412	1215	1197
375	2393	1205	1188
376	2450	1195	1255
377	2473	1185	1288
378	2449	1179	1270
379	2459	1175	1284
380	2467	1163	1304
381	2469	1155	1314
382	2439	1168	1271
383	2462	1184	1278
384	2489	1181	1308
385	2443	1194	1249
386	2434	1220	1214
387	2457	1215	1242
388	2446	1194	1252
389	2461	1181	1280
390	2447	1183	1264
391	2435	1163	1272
392	2448	1170	1278
393	2450	1166	1284
394	2459	1165	1294
395	2462	1182	1280
396	2468	1181	1287
397	2461	1177	1284
398	2451	1198	1253
399	2502	1182	1320
400	2515	1175	1340
401	2487	1171	1316
402	2488	1180	1308
403	2466	1173	1293
404	2474	1177	1297
405	2458	1187	1271
406	2475	1193	1282
407	2509	1191	1318
408	2504	1176	1328
409	2469	1192	1277
410	2442	1190	1252
411	2453	1185	1268
412	2512	1175	1337
413	2535	1172	1363
414	2537	1182	1355
415	2520	1193	1327
416	2517	1192	1325
417	2477	1165	1312
418	2485	1163	1322
419	2458	1182	1276
420	2506	1183	1323
421	2530	1178	1352
422	2513	1194	1319
423	2514	1187	1327
424	2513	1190	1323
425	2486	1164	1322
426	2475	1182	1293
427	2477	1205	1272
428	2495	1192	1303
429	2518	1193	1325
430	2485	1187	1298
431	2500	1182	1318
432	2499	1160	1339
433	2550	1143	1407
434	2545	1169	1376
435	2510	1189	1321
436	2491	1162	1329
437	2466	1183	1283
438	2486	1188	1298
439	2534	1197	1337
440	2515	1175	1340
441	2445	1192	1253
442	2489	1170	1319
443	2494	1186	1308
444	2490	1201	1289
445	2531	1187	1344
446	2467	1180	1287
447	2467	1170	1297
448	2486	1162	1324
449	2491	1179	1312
450	2495	1191	1304
451	2451	1176	1275
452	2445	1172	1273
453	2489	1182	1307
454	2481	1182	1299
455	2503	1197	1306
456	2523	1196	1327
457	2467	1169	1298
458	2488	1183	1305
459	2500	1178	1322
460	2456	1171	1285
461	2460	1165	1295
462	2484	1163	1321
463	2470	1166	1304
464	2457	1170	1287
465	2479	1170	1309
466	2507	1181	1326
467	2500	1187	1313
468	2474	1154	1320
469	2549	1173	1376
470	2527	1188	1339
471	2449	1203	1246
472	2471	1180	1291
473	2482	1167	1315
474	2518	1184	1334
475	2523	1182	1341
476	2498	1170	1328
477	2508	1171	1337
478	2495	1192	1303
479	2494	1170	1324
480	2472	1178	1294
481	2472	1182	1290
482	2506	1170	1336
483	2527	1157	1370
484	2514	1179	1335
485	2532	1196	1336
486	2524	1189	1335
487	2526	1200	1326
488	2552	1218	1334
489	2531	1209	1322
490	2500	1181	1319
491	2511	1176	1335
492	2504	1196	1308
493	2500	1198	1302
494	2522	1195	1327
495	2522	1196	1326
496	2497	1188	1309
497	2516	1177	1339
498	2542	1188	1354
499	2542	1182	1360
500	2487	1177	1310
501	2508	1190	1318
502	2498	1177	1321
503	2476	1182	1294
504	2492	1193	1299
505	2533	1195	1338
506	2526	1175	1351
507	2516	1156	1360
508	2500	1175	1325
509	2491	1195	1296
510	2493	1182	1311
511	2462	1169	1293
512	2434	1187	1247
513	2498	1187	1311
514	2529	1185	1344
515	2499	1172	1327
516	2536	1197	1339
517	2537	1208	1329
518	2539	1170	1369
519	2513	1180	1333
520	2533	1198	1335
521	2546	1190	1356
522	2562	1166	1396
523	2549	1177	1372
524	2523	1176	1347
525	2562	1179	1383
526	2566	1221	1345
527	2537	1206	1331
528	2531	1197	1334
529	2567	1190	1377
530	2554	1190	1364
531	2523	1184	1339
532	2543	1186	1357
533	2574	1186	1388
534	2568	1172	1396
535	2551	1169	1382
536	2564	1166	1398
537	2582	1168	1414
538	2589	1176	1413
539	2600	1180	1420
540	2571	1186	1385
541	2559	1178	1381
542	2571	1198	1373
543	2568	1222	1346
544	2591	1217	1374
545	2584	1191	1393
546	2586	1183	1403
547	2603	1189	1414
548	2588	1201	1387
549	2560	1200	1360
550	2570	1204	1366
551	2617	1203	1414
552	2664	1200	1464
553	2622	1198	1424
554	2635	1198	1437
555	2628	1188	1440
556	2622	1184	1438
557	2643	1159	1484
558	2608	1163	1445
559	2605	1193	1412
560	2629	1181	1448
561	2663	1173	1490
562	2638	1167	1471
563	2625	1163	1462
564	2644	1166	1478
565	2650	1163	1487
566	2689	1162	1527
567	2695	1185	1510
568	2657	1186	1471
569	2651	1170	1481
570	2664	1185	1479
571	2627	1187	1440
572	2631	1174	1457
573	2648	1170	1478
574	2689	1170	1519
575	2696	1172	1524
576	2671	1171	1500
577	2630	1175	1455
578	2633	1185	1448
579	2669	1171	1498
580	2693	1158	1535
581	2694	1187	1507
582	2707	1201	1506
583	2699	1191	1508
584	2702	1175	1527
585	2735	1164	1571
586	2741	1183	1558
587	2751	1189	1562
588	2716	1173	1543
589	2706	1195	1511
590	2734	1196	1538
591	2789	1188	1601
592	2771	1164	1607
593	2715	1175	1540
594	2740	1194	1546
595	2760	1201	1559
596	2764	1200	1564
597	2789	1206	1583
598	2767	1204	1563
599	2795	1197	1598
600	2789	1170	1619
601	2788	1172	1616
602	2775	1171	1604
603	2792	1168	1624
604	2794	1173	1621
605	2793	1199	1594
606	2831	1198	1633
607	2798	1190	1608
608	2790	1173	1617
609	2831	1172	1659
610	2784	1179	1605
611	2836	1184	1652
612	2878	1177	1701
613	2870	1184	1686
614	2890	1201	1689
615	2912	1205	1707
616	2851	1208	1643
617	2818	1192	1626
618	2916	1171	1745
619	2932	1182	1750
620	2892	1178	1714
621	2902	1162	1740
622	2877	1157	1720
623	2866	1187	1679
624	2907	1194	1713
625	2917	1196	1721
626	2912	1192	1720
627	2871	1196	1675
628	2888	1191	1697
629	2896	1187	1709
630	2876	1176	1700
631	2909	1173	1736
632	2879	1201	1678
633	2884	1213	1671
634	2948	1190	1758
635	2935	1160	1775
636	2899	1165	1734
637	2917	1182	1735
638	2911	1188	1723
639	2883	1193	1690
640	2945	1202	1743
641	2990	1205	1785
642	2994	1191	1803
643	2940	1167	1773
644	2934	1174	1760
645	2994	1174	1820
646	2988	1181	1807
647	2988	1173	1815
648	3011	1167	1844
649	2998	1182	1816
650	3014	1176	1838
651	3034	1182	1852
652	3020	1197	1823
653	3069	1196	1873
654	3084	1178	1906
655	3052	1166	1886
656	3038	1180	1858
657	3036	1181	1855
658	3029	1179	1850
659	3034	1176	1858
660	3031	1171	1860
661	3041	1163	1878
662	3069	1162	1907
663	3081	1172	1909
664	3094	1202	1892
665	3067	1204	1863
666	3044	1186	1858
667	3069	1162	1907
668	3078	1157	1921
669	3122	1182	1940
670	3104	1188	1916
671	3095	1179	1916
672	3110	1175	1935
673	3107	1176	1931
674	3072	1189	1883
675	3057	1173	1884
676	3083	1180	1903
677	3107	1156	1951
678	3134	1161	1973
679	3170	1169	2001
680	3152	1167	1985
681	3129	1185	1944
682	3127	1184	1943
683	3134	1197	1937
684	3113	1188	1925
685	3145	1163	1982
686	3172	1159	2013
687	3186	1190	1996
688	3134	1183	1951
689	3135	1173	1962
690	3213	1173	2040
691	3233	1184	2049
692	3229	1186	2043
693	3239	1170	2069
694	3182	1162	2020
695	3165	1192	1973
696	3149	1206	1943
697	3185	1203	1982
698	3178	1203	1975
699	3230	1204	2026
700	3262	1193	2069
701	3239	1188	2051
702	3210	1191	2019
703	3231	1174	2057
704	3221	1153	2068
705	3263	1160	2103
706	3216	1162	2054
707	3251	1159	2092
708	3243	1176	2067
709	3209	1178	2031
710	3224	1182	2042
711	3225	1181	2044
712	3234	1177	2057
713	3229	1183	2046
714	3203	1172	2031
715	3221	1165	2056
716	3238	1182	2056
717	3255	1185	2070
718	3260	1168	2092
719	3301	1206	2095
720	3281	1195	2086
721	3285	1199	2086
722	3258	1196	2062
723	3227	1184	2043
724	3287	1174	2113
725	3341	1179	2162
726	3292	1190	2102
727	3242	1189	2053
728	3272	1161	2111
729	3279	1180	2099
730	3311	1185	2126
731	3312	1188	2124
732	3241	1191	2050
733	3314	1185	2129
734	3299	1181	2118
735	3263	1176	2087
736	3281	1187	2094
737	3292	1184	2108
738	3342	1213	2129
739	3356	1206	2150
740	3338	1173	2165
741	3334	1152	2182
742	3334	1174	2160
743	3292	1183	2109
744	3304	1195	2109
745	3314	1186	2128
746	3361	1188	2173
747	3420	1188	2232
748	3383	1169	2214
749	3313	1182	2131
750	3337	1184	2153
751	3391	1179	2212
752	3362	1192	2170
753	3364	1191	2173
754	3335	1185	2150
755	3330	1172	2158
756	3388	1177	2211
757	3377	1194	2183
758	3340	1177	2163
759	3352	1184	2168
760	3314	1195	2119
761	3329	1162	2167
762	3369	1196	2173
763	3310	1205	2105
764	3334	1202	2132
765	3362	1177	2185
766	3397	1163	2234
767	3376	1162	2214
768	3338	1177	2161
769	3302	1177	2125
770	3348	1201	2147
771	3298	1175	2123
772	3343	1169	2174
773	3370	1158	2212
774	3395	1171	2224
775	3367	1192	2175
776	3356	1193	2163
777	3358	1191	2167
778	3377	1190	2187
779	3409	1169	2240
780	3409	1196	2213
781	3367	1197	2170
782	3310	1191	2119
783	3305	1213	2092
784	3334	1200	2134
785	3367	1174	2193
786	3382	1181	2201
787	3384	1172	2212
788	3369	1182	2187
789	3366	1196	2170
790	3332	1167	2165
791	3321	1163	2158
792	3331	1160	2171
793	3331	1198	2133
794	3343	1194	2149
795	3335	1171	2164
796	3343	1196	2147
797	3354	1190	2164
798	3335	1166	2169
799	3373	1173	2200
800	3349	1167	2182
801	3302	1156	2146
802	3325	1168	2157
803	3321	1175	2146
804	3324	1180	2144
805	3343	1176	2167
806	3343	1190	2153
807	3309	1205	2104
808	3347	1198	2149
809	3350	1199	2151
810	3311	1193	2118
811	3337	1200	2137
812	3321	1196	2125
813	3335	1188	2147
814	3354	1186	2168
815	3384	1171	2213
816	3370	1158	2212
817	3315	1170	2145
818	3235	1168	2067
819	3311	1171	2140
820	3345	1174	2171
821	3339	1161	2178
822	3343	1178	2165
823	3331	1182	2149
824	3379	1194	2185
825	3326	1186	2140
826	3296	1173	2123
827	3318	1170	2148
828	3340	1201	2139
829	3339	1193	2146
830	3329	1195	2134
831	3272	1194	2078
832	3307	1184	2123
833	3317	1182	2135
834	3284	1191	2093
835	3272	1185	2087
836	3294	1177	2117
837	3288	1187	2101
838	3316	1165	2151
839	3300	1162	2138
840	3278	1199	2079
841	3282	1196	2086
842	3275	1178	2097
843	3248	1184	2064
844	3282	1186	2096
845	3294	1173	2121
846	3295	1202	2093
847	3323	1211	2112
848	3354	1176	2178
849	3334	1178	2156
850	3309	1175	2134
851	3344	1162	2182
852	3351	1167	2184
853	3317	1162	2155
854	3284	1151	2133
855	3360	1164	2196
856	3332	1172	2160
857	3275	1169	2106
858	3283	1174	2109
859	3252	1184	2068
860	3282	1164	2118
861	3326	1172	2154
862	3346	1170	2176
863	3285	1152	2133
864	3258	1175	2083
865	3280	1188	2092
866	3261	1190	2071
867	3269	1171	2098
868	3303	1166	2137
869	3376	1155	2221
870	3331	1172	2159
871	3276	1179	2097
872	3281	1167	2114
873	3321	1179	2142
874	3284	1189	2095
875	3253	1207	2046
876	3234	1207	2027
877	3301	1167	2134
878	3309	1184	2125
879	3290	1206	2084
880	3278	1165	2113
881	3239	1155	2084
882	3221	1176	2045
883	3273	1178	2095
884	3304	1180	2124
885	3285	1183	2102
886	3254	1210	2044
887	3250	1194	2056
888	3255	1177	2078
889	3281	1180	2101
890	3303	1172	2131
891	3281	1152	2129
892	3271	1155	2116
893	3263	1161	2102
894	3244	1165	2079
895	3285	1173	2112
896	3295	1178	2117
897	3293	1192	2101
898	3297	1180	2117
899	3304	1179	2125
900	3289	1172	2117
901	3270	1174	2096
902	3302	1169	2133
