filename,Start 1,End 1,Start 2,End 2,Start 3,End 3,T1_left,T1_right,T2_left,T2_right,room_temperature(K),water_volume(mL),water_density(g/mL),water_capacity(J/gK),solute_mass(g),solute_molarmass(g/mol),R1(Omega),R2(Omega),t1(s),t2(s),current(A),dissolution_heat(kJ)
20230928121156dissolutiondata,0,293,515,759,1479,1651,0.051669211709678864,-2.280117036142837,-2.166686705917969,0.7000148507989983,298.15,500.0,0.9970470,4.1813,5.0,74.551,10.0,10.0,509.096,836.021,1.0,2.6592
20230928110411dissolutiondata,0,148,311,434,1528,1894,0.005594135602007637,-2.8481202015356035,-2.7000097213631884,0.0801645873896126,298.15,500.0,0.9973,4.1813,5.0,74.551,11.3,11.3,286.057,932.651,1.0,7.4998
20230928113253dissolutiondata,0,262,363,721,1610,1882,0.014808496584752178,-2.6294715951081784,-2.501084171147194,0.026520881769177773,296.41,500.0,0.9974788,4.1821,18.0007,74.551,11.3,11.3,478.097,901.328,1.16,6.7324
20230928115117dissolutiondata,0,219,309,471,1152,1298,0.020575709283700953,-2.4607693901568912,-2.3702657204163127,0.01729033156861598,296.58,500.0,0.9974380,4.1820,18.0045,74.551,11.3,11.3,309.73,575.89,1.46,6.6629
20230928121156dissolutiondata-2,0,288,515,759,1500,1651,0.05603487840551373,-2.2801510435350583,-2.1666143497643064,0.7043769915808158,296.72,500.0,0.9974041,4.1820,18.0010,74.551,11.3,11.3,509.096,836.021,1.46,6.4078
