0.08,-2.372e-07,0.72,3.508e-07,0.08,-3.92e-07,0.72,6.378e-07,0.08,-7.119e-07,0.72,1.442e-06
0.09,-2.194e-07,0.71,3.769e-07,0.09,-3.784e-07,0.71,6.893e-07,0.09,-6.786e-07,0.71,1.556e-06
0.1,-2.069e-07,0.7,4.045e-07,0.1,-3.611e-07,0.7,7.307e-07,0.1,-6.667e-07,0.7,1.646e-06
0.11,-1.969e-07,0.69,4.358e-07,0.11,-3.441e-07,0.69,7.885e-07,0.11,-6.376e-07,0.69,1.767e-06
0.12,-1.918e-07,0.68,4.662e-07,0.12,-3.393e-07,0.68,8.381e-07,0.12,-6.37e-07,0.68,1.864e-06
0.13,-1.84e-07,0.67,5.039e-07,0.13,-3.31e-07,0.67,9.025e-07,0.13,-6.228e-07,0.67,2.006e-06
0.14,-1.789e-07,0.66,5.305e-07,0.14,-3.2e-07,0.66,9.622e-07,0.14,-6.183e-07,0.66,2.123e-06
0.15,-1.658e-07,0.65,5.741e-07,0.15,-3.038e-07,0.65,1.04e-06,0.15,-6.041e-07,0.65,2.288e-06
0.16,-1.566e-07,0.64,6.177e-07,0.16,-2.962e-07,0.64,1.108e-06,0.16,-6.086e-07,0.64,2.427e-06
0.17,-1.509e-07,0.63,6.63e-07,0.17,-2.909e-07,0.63,1.194e-06,0.17,-5.867e-07,0.63,2.614e-06
0.18,-1.464e-07,0.62,7.138e-07,0.18,-2.895e-07,0.62,1.274e-06,0.18,-5.876e-07,0.62,2.776e-06
0.19,-1.453e-07,0.61,7.667e-07,0.19,-2.848e-07,0.61,1.379e-06,0.19,-5.782e-07,0.61,2.997e-06
0.2,-1.445e-07,0.6,8.252e-07,0.2,-2.803e-07,0.6,1.497e-06,0.2,-5.712e-07,0.6,3.206e-06
0.21,-1.434e-07,0.59,8.963e-07,0.21,-2.752e-07,0.59,1.621e-06,0.21,-5.636e-07,0.59,3.463e-06
0.22,-1.436e-07,0.58,9.675e-07,0.22,-2.729e-07,0.58,1.746e-06,0.22,-5.671e-07,0.58,3.711e-06
0.23,-1.412e-07,0.57,1.056e-06,0.23,-2.643e-07,0.57,1.896e-06,0.23,-5.511e-07,0.57,4.026e-06
0.24,-1.421e-07,0.56,1.142e-06,0.24,-2.659e-07,0.56,2.051e-06,0.24,-5.624e-07,0.56,4.335e-06
0.25,-1.397e-07,0.55,1.251e-06,0.25,-2.613e-07,0.55,2.235e-06,0.25,-5.471e-07,0.55,4.732e-06
0.26,-1.412e-07,0.54,1.361e-06,0.26,-2.621e-07,0.54,2.428e-06,0.26,-5.608e-07,0.54,5.113e-06
0.27,-1.384e-07,0.53,1.51e-06,0.27,-2.594e-07,0.53,2.651e-06,0.27,-5.459e-07,0.53,5.575e-06
0.28,-1.411e-07,0.52,1.653e-06,0.28,-2.644e-07,0.52,2.888e-06,0.28,-5.632e-07,0.52,6.054e-06
0.29,-1.386e-07,0.51,1.815e-06,0.29,-2.639e-07,0.51,3.169e-06,0.29,-5.556e-07,0.51,6.624e-06
0.3,-1.424e-07,0.5,1.981e-06,0.3,-2.721e-07,0.5,3.451e-06,0.3,-5.728e-07,0.5,7.194e-06
0.31,-1.416e-07,0.49,2.163e-06,0.31,-2.734e-07,0.49,3.764e-06,0.31,-5.762e-07,0.49,7.859e-06
0.32,-1.439e-07,0.48,2.342e-06,0.32,-2.824e-07,0.48,4.08e-06,0.32,-5.868e-07,0.48,8.52e-06
0.33,-1.438e-07,0.47,2.538e-06,0.33,-2.861e-07,0.47,4.415e-06,0.33,-5.895e-07,0.47,9.241e-06
0.34,-1.45e-07,0.46,2.713e-06,0.34,-2.911e-07,0.46,4.749e-06,0.34,-6.211e-07,0.46,9.935e-06
0.35,-1.464e-07,0.45,2.869e-06,0.35,-2.934e-07,0.45,5.038e-06,0.35,-6.315e-07,0.45,1.064e-05
0.36,-1.494e-07,0.44,2.985e-06,0.36,-3.063e-07,0.44,5.265e-06,0.36,-6.622e-07,0.44,1.125e-05
0.37,-1.599e-07,0.43,3.052e-06,0.37,-3.228e-07,0.43,5.427e-06,0.37,-6.822e-07,0.43,1.179e-05
0.38,-1.753e-07,0.42,3.058e-06,0.38,-3.379e-07,0.42,5.49e-06,0.38,-7.267e-07,0.42,1.214e-05
0.39,-1.846e-07,0.41,3.015e-06,0.39,-3.436e-07,0.41,5.465e-06,0.39,-7.578e-07,0.41,1.235e-05
0.4,-1.95e-07,0.4,2.897e-06,0.4,-3.707e-07,0.4,5.325e-06,0.4,-8.2e-07,0.4,1.229e-05
0.41,-2.103e-07,0.39,2.751e-06,0.41,-3.903e-07,0.39,5.104e-06,0.41,-8.674e-07,0.39,1.206e-05
0.42,-2.352e-07,0.38,2.571e-06,0.42,-4.236e-07,0.38,4.807e-06,0.42,-9.325e-07,0.38,1.16e-05
0.43,-2.446e-07,0.37,2.377e-06,0.43,-4.458e-07,0.37,4.466e-06,0.43,-1.007e-06,0.37,1.099e-05
0.44,-2.717e-07,0.36,2.183e-06,0.44,-4.892e-07,0.36,4.108e-06,0.44,-1.106e-06,0.36,1.023e-05
0.45,-2.973e-07,0.35,2.004e-06,0.45,-5.314e-07,0.35,3.765e-06,0.45,-1.195e-06,0.35,9.451e-06
0.46,-3.366e-07,0.34,1.829e-06,0.46,-5.873e-07,0.34,3.429e-06,0.46,-1.326e-06,0.34,8.617e-06
