0.31,-1.416e-07,0.53,1.51e-06,0.986,-1e-06,-0.136,-7.809e-07
0.32,-1.439e-07,0.52,1.653e-06,0.984,-9.712e-07,-0.134,-7.774e-07
0.33,-1.438e-07,0.51,1.815e-06,0.982,-9.557e-07,-0.132,-7.619e-07
0.34,-1.45e-07,0.5,1.981e-06,0.98,-9.265e-07,-0.13,-7.654e-07
0.35,-1.464e-07,0.49,2.163e-06,0.978,-9.179e-07,-0.128,-7.468e-07
0.36,-1.494e-07,0.48,2.342e-06,0.976,-8.82e-07,-0.126,-7.497e-07
0.37,-1.599e-07,0.47,2.538e-06,0.974,-8.725e-07,-0.124,-7.285e-07
0.38,-1.753e-07,0.46,2.713e-06,0.972,-8.37e-07,-0.122,-7.254e-07
0.39,-1.846e-07,0.45,2.869e-06,0.97,-8.298e-07,-0.12,-7.1e-07
0.4,-1.95e-07,0.44,2.985e-06,0.968,-8.09e-07,-0.118,-7.09e-07
0.41,-2.103e-07,0.43,3.052e-06,0.966,-7.914e-07,-0.116,-6.91e-07
0.42,-2.352e-07,0.42,3.058e-06,0.964,-7.734e-07,-0.114,-6.912e-07
0.43,-2.446e-07,0.41,3.015e-06,0.962,-7.558e-07,-0.112,-6.738e-07
0.44,-2.717e-07,0.4,2.897e-06,0.96,-7.316e-07,-0.11,-6.637e-07
0.45,-2.973e-07,0.39,2.751e-06,0.958,-7.266e-07,-0.108,-6.499e-07
0.46,-3.366e-07,0.38,2.571e-06,0.956,-6.957e-07,-0.106,-6.473e-07
0.47,-3.711e-07,0.37,2.377e-06,0.954,-6.869e-07,-0.104,-6.273e-07
0.48,-4.301e-07,0.36,2.183e-06,0.952,-6.671e-07,-0.102,-6.328e-07
0.49,-4.992e-07,0.35,2.004e-06,0.95,-6.558e-07,-0.1,-6.049e-07
0.5,-5.893e-07,0.34,1.829e-06,0.948,-6.332e-07,-0.098,-6.047e-07
0.51,-6.944e-07,0.33,1.68e-06,0.946,-6.281e-07,-0.096,-5.812e-07
0.52,-8.017e-07,0.32,1.539e-06,0.944,-5.995e-07,-0.094,-5.771e-07
0.53,-8.991e-07,0.31,1.411e-06,0.942,-5.899e-07,-0.092,-5.606e-07
0.54,-9.829e-07,0.3,1.3e-06,0.94,-5.742e-07,-0.09,-5.552e-07
0.55,-1.052e-06,0.29,1.216e-06,0.938,-5.629e-07,-0.088,-5.395e-07
0.56,-1.117e-06,0.28,1.132e-06,0.936,-5.369e-07,-0.086,-5.333e-07
0.57,-1.162e-06,0.27,1.071e-06,0.934,-5.349e-07,-0.084,-5.155e-07
0.58,-1.211e-06,0.26,1.006e-06,0.932,-5.164e-07,-0.082,-5.157e-07
0.59,-1.242e-06,0.25,9.562e-07,0.93,-5.03e-07,-0.08,-4.997e-07
0.6,-1.275e-06,0.24,9.045e-07,0.928,-4.863e-07,-0.078,-4.939e-07
0.61,-1.302e-06,0.23,8.69e-07,0.926,-4.82e-07,-0.076,-4.738e-07
0.62,-1.327e-06,0.22,8.301e-07,0.924,-4.55e-07,-0.074,-4.744e-07
0.63,-1.352e-06,0.21,7.974e-07,0.922,-4.466e-07,-0.072,-4.574e-07
0.64,-1.372e-06,0.2,7.598e-07,0.92,-4.363e-07,-0.07,-4.494e-07
0.65,-1.393e-06,0.19,7.366e-07,0.918,-4.323e-07,-0.068,-4.436e-07
0.66,-1.413e-06,0.18,7.077e-07,0.916,-4.067e-07,-0.066,-4.394e-07
0.67,-1.428e-06,0.17,6.941e-07,0.914,-3.989e-07,-0.064,-4.252e-07
0.68,-1.444e-06,0.16,6.697e-07,0.912,-3.864e-07,-0.062,-4.295e-07
0.69,-1.453e-06,0.15,6.599e-07,0.91,-3.811e-07,-0.06,-4.084e-07
0.7,-1.467e-06,0.14,6.406e-07,0.908,-3.541e-07,-0.058,-4.045e-07
0.71,-1.483e-06,0.13,6.254e-07,0.906,-3.47e-07,-0.056,-3.924e-07
0.72,-1.504e-06,0.12,6.096e-07,0.904,-3.396e-07,-0.054,-3.916e-07
0.73,-1.511e-06,0.11,6.083e-07,0.902,-3.374e-07,-0.052,-3.805e-07
0.74,-1.518e-06,0.1,5.96e-07,0.9,-3.175e-07,-0.05,-3.842e-07
0.75,-1.534e-06,0.09,5.877e-07,0.898,-3.1e-07,-0.048,-3.685e-07
0.76,-1.554e-06,0.08,5.771e-07,0.896,-2.926e-07,-0.046,-3.637e-07
0.77,-1.562e-06,0.07,5.746e-07,0.894,-2.9e-07,-0.044,-3.506e-07
0.78,-1.574e-06,0.06,5.675e-07,0.892,-2.734e-07,-0.042,-3.468e-07
0.79,-1.592e-06,0.05,5.725e-07,0.89,-2.695e-07,-0.04,-3.432e-07
0.8,-1.608e-06,0.04,5.718e-07,0.888,-2.459e-07,-0.038,-3.414e-07
0.81,-1.622e-06,0.03,5.865e-07,0.886,-2.445e-07,-0.036,-3.372e-07
0.82,-1.646e-06,0.02,5.968e-07,0.884,-2.382e-07,-0.034,-3.4e-07
0.83,-1.671e-06,0.01,6.158e-07,0.882,-2.343e-07,-0.032,-3.29e-07
0.84,-1.701e-06,0.0,6.399e-07,0.88,-2.117e-07,-0.03,-3.363e-07
0.85,-1.713e-06,-0.01,6.859e-07,0.878,-2.064e-07,-0.028,-3.18e-07
0.86,-1.738e-06,-0.02,7.22e-07,0.876,-1.937e-07,-0.026,-3.229e-07
0.87,-1.76e-06,-0.03,7.942e-07,0.874,-1.912e-07,-0.024,-3.091e-07
0.88,-1.789e-06,-0.04,8.747e-07,0.872,-1.763e-07,-0.022,-3.111e-07
0.89,-1.807e-06,-0.05,9.845e-07,0.87,-1.709e-07,-0.02,-2.995e-07
0.9,-1.831e-06,-0.06,1.11e-06,0.868,-1.501e-07,-0.018,-2.997e-07
0.91,-1.854e-06,-0.07,1.254e-06,0.866,-1.495e-07,-0.016,-2.936e-07
0.92,-1.884e-06,-0.08,1.409e-06,0.864,-1.443e-07,-0.014,-2.952e-07
0.93,-1.902e-06,-0.09,1.566e-06,0.862,-1.43e-07,-0.012,-2.899e-07
0.94,-1.92e-06,-0.1,1.68e-06,0.86,-1.299e-07,-0.01,-2.921e-07
