0.36,9.61e-07,1.276e-06,-0.01,-9.997e-07,3.738e-06,0.81,3.022e-07,-6.657e-06,-0.01,-8.808e-07,2.943e-06,0.81,3.269e-07,-7.145e-06
0.35,9.46e-07,1.323e-06,-0.0,-8.928e-07,3.693e-06,0.8,3.253e-07,-6.641e-06,-0.0,-7.65e-07,2.905e-06,0.8,3.468e-07,-7.128e-06
0.34,9.085e-07,1.368e-06,0.01,-8.032e-07,3.653e-06,0.79,3.596e-07,-6.623e-06,0.01,-6.786e-07,2.871e-06,0.79,3.877e-07,-7.108e-06
0.33,8.999e-07,1.413e-06,0.02,-7.314e-07,3.617e-06,0.78,3.946e-07,-6.603e-06,0.02,-6.047e-07,2.841e-06,0.78,4.139e-07,-7.088e-06
0.32,8.643e-07,1.456e-06,0.03,-6.755e-07,3.583e-06,0.77,4.324e-07,-6.582e-06,0.03,-5.435e-07,2.813e-06,0.77,4.5e-07,-7.065e-06
0.31,8.553e-07,1.499e-06,0.04,-6.345e-07,3.551e-06,0.76,4.594e-07,-6.559e-06,0.04,-4.985e-07,2.788e-06,0.76,4.831e-07,-7.041e-06
0.3,8.215e-07,1.54e-06,0.05,-6.046e-07,3.521e-06,0.75,5.013e-07,-6.534e-06,0.05,-4.614e-07,2.765e-06,0.75,5.231e-07,-7.015e-06
0.29,8.089e-07,1.581e-06,0.06,-5.747e-07,3.492e-06,0.74,5.372e-07,-6.507e-06,0.06,-4.365e-07,2.744e-06,0.74,5.525e-07,-6.987e-06
0.28,7.842e-07,1.62e-06,0.07,-5.547e-07,3.464e-06,0.73,5.807e-07,-6.478e-06,0.07,-4.121e-07,2.723e-06,0.73,5.976e-07,-6.957e-06
0.27,7.645e-07,1.658e-06,0.08,-5.375e-07,3.437e-06,0.72,6.189e-07,-6.447e-06,0.08,-3.92e-07,2.703e-06,0.72,6.378e-07,-6.926e-06
0.26,7.499e-07,1.696e-06,0.09,-5.245e-07,3.411e-06,0.71,6.719e-07,-6.413e-06,0.09,-3.784e-07,2.684e-06,0.71,6.893e-07,-6.891e-06
0.25,7.286e-07,1.732e-06,0.1,-5.131e-07,3.386e-06,0.7,7.118e-07,-6.378e-06,0.1,-3.611e-07,2.666e-06,0.7,7.307e-07,-6.854e-06
0.24,7.088e-07,1.768e-06,0.11,-4.918e-07,3.361e-06,0.69,7.695e-07,-6.339e-06,0.11,-3.441e-07,2.649e-06,0.69,7.885e-07,-6.815e-06
0.23,7.082e-07,1.803e-06,0.12,-4.793e-07,3.337e-06,0.68,8.237e-07,-6.298e-06,0.12,-3.393e-07,2.632e-06,0.68,8.381e-07,-6.773e-06
0.22,6.887e-07,1.837e-06,0.13,-4.653e-07,3.314e-06,0.67,8.886e-07,-6.254e-06,0.13,-3.31e-07,2.616e-06,0.67,9.025e-07,-6.728e-06
0.21,6.717e-07,1.871e-06,0.14,-4.539e-07,3.291e-06,0.66,9.449e-07,-6.206e-06,0.14,-3.2e-07,2.6e-06,0.66,9.622e-07,-6.68e-06
0.2,6.592e-07,1.904e-06,0.15,-4.396e-07,3.269e-06,0.65,1.022e-06,-6.155e-06,0.15,-3.038e-07,2.584e-06,0.65,1.04e-06,-6.628e-06
