filename,Start 1,End 1,Start 2,End 2,Start 3,End 3,T1_left,T1_right,T2_left,T2_right,room_temperature(K),water_volume(mL),water_density(g/mL),water_capacity(J/gK),solute_mass(g),solute_molarmass(g/mol),R1(Omega),R2(Omega),t1(s),t2(s),current(A),dissolution_heat(kJ)
20230928140130dissolutiondata,0,169,280,549,1140,1323,0.009665257032886496,-1.439333992460579,-1.3751019711110646,0.06475265869088725,296.79,500.0,0.9973871,4.1819,9.0063,74.551,11.3,11.3,366.245,592.694,1.26,4.0883
20230928141837dissolutiondata,0,196,338,564,1087,1313,0.024415580682545433,-1.405326327826518,-1.3219843716953352,0.030360504035202365,296.97,500.0,0.9973431,4.1818,9.2567,74.551,11.3,11.3,375.637,589.184,1.26,4.0503
20230928141837dissolutiondata,0,191,338,564,1087,1313,0.02818088614081528,-1.4053444774542363,-1.3219843716953352,0.030360504035202365,296.97,500.0,0.9973431,4.1818,9.2567,74.551,11.3,11.3,375.637,589.184,1.26,4.0610
20230928145327dissolutiondata,0,156,308,535,1067,1248,0.02989973195034465,-1.3706341617242577,-1.2828186592682231,0.021877101496011853,297.26,500.0,0.9972715,4.1817,9.7516,74.551,11.3,11.3,400.425,604.056,1.26,3.9215
20230928143546dissolutiondata,0,187,358,705,1185,1312,0.029949524884724264,-1.3861074743462147,-1.2846230128246447,0.01168790628953989,297.12,500.0,0.9973062,4.1818,9.502,74.551,11.3,11.3,509.279,714.157,1.26,4.0150
20230928151030dissolutiondata,0,168,308,554,1179,1340,0.034414125303960236,-1.3533693407370724,-1.2562843504995658,0.2860484830293983,297.4,500.0,0.9972368,4.1816,10.0088,74.551,11.3,11.3,437.183,675.979,1.26,3.8547
20230928153009dissolutiondata,0,216,376,640,1200,1395,0.03634350936072103,-1.3372565698867644,-1.2483180371337876,0.08514007504097679,297.8,500.0,0.9971363,4.1815,10.2516,74.551,11.3,11.3,438.013,640.04,1.26,3.7334
