Name,Value,Error,Value_x10^4,Error_x10^4
Loop2-1,310.7,0.31,4.59,0.043
Loop2-2,153.2,0.15,4.51,0.03
Loop2-3,100.8,0.1,4.44,0.024
Loop2-4,74.58,0.075,4.34,0.02
Loop2-5,58.87,0.059,4.25,0.017
Loop2-6,48.43,0.048,4.15,0.016
