Name,Value,Error,Value,Error,
Loop2-1,310.7,0.31,4.59E+04,0.043,430
Loop2-2,153.2,0.15,4.51E+04,0.03,300
Loop2-3,100.8,0.1,4.44E+04,0.024,240
Loop2-4,74.58,0.075,4.34E+04,0.02,200
Loop2-5,58.87,0.059,4.25E+04,0.017,170
Loop2-6,48.43,0.048,4.15E+04,0.016,160
