实验序号,t_a/\mathrm{S},t_b/\mathrm{S}
Loop2-1,143.91,522.99
Loop2-2,158.98,526.41
Loop2-3,170.16,654.39
Loop2-4,149.29,546.43
Loop2-5,174.17,600.47
Loop2-6,181.37,587.16

