n0,Er_n0,Qs,Er_Qs,n0_inv,Qs_inv,Er_n0_inv,Er_Qs_inv
310.7,0.31,45900,430,0.00321853878339234,2.1786492374727668e-05,3.2112874890621996e-06,2.0410003749744875e-07
153.2,0.15,45100,300,0.006527415143603134,2.2172949002217295e-05,6.391072268540927e-06,1.4749190023647867e-07
100.8,0.1,44400,240,0.00992063492063492,2.2522522522522523e-05,9.841899722852105e-06,1.2174336498660823e-07
74.58,0.075,43400,200,0.013408420488066506,2.304147465437788e-05,1.3483930498860124e-05,1.0618191084966765e-07
58.87,0.059,42500,170,0.016986580601324953,2.3529411764705884e-05,1.7024091310993246e-05,9.411764705882353e-08
58.43,0.048,41500,160,0.017114495978093447,2.4096385542168674e-05,1.4059486684040482e-05,9.290172739149369e-08
